# emapper version: emapper-1.0.3 emapper DB: 4.5.1-RA	
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60-RA	
# time: Tue Oct  2 21:05:37 2018-RA	
#query_name-RA	eggNOG annot
Amillepora16770-RA	chromosome 1 open reading frame 194
Amillepora16769-RA	family with sequence similarity
Amillepora16774-RA	Transketolase
Amillepora16773-RA	Transketolase
Amillepora16771-RA	iQ motif containing with AAA domain
Amillepora16777-RA	filamin ABP280 repeat-containing domain protein
Amillepora16793-RA	solid-state culture specific protein
Amillepora16784-RA	Transient receptor potential cation channel subfamily V member
Amillepora16795-RA	Ring finger protein
Amillepora16796-RA	RAD54-like 2 (S. cerevisiae)
Amillepora16798-RA	Component of the SCF(sconB) E3 ubiquitin ligase complex involved in the regulation of sulfur metabolite repression, probably by mediating the inactivation or degradation of the metR transcription factor
Amillepora16797-RA	RAS
Amillepora16812-RA	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Amillepora16808-RA	RAD18 homolog (S. cerevisiae)
Amillepora16815-RA	ets variant
Amillepora16806-RA	Quinone oxidoreductase-like protein
Amillepora16813-RA	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16807-RA	mitochondrial import inner membrane, translocase subunit
Amillepora16814-RA	MON2 homolog (S. cerevisiae)
Amillepora16811-RA	mitochondrial processing
Amillepora16805-RA	creatine kinase
Amillepora16809-RA	YY1 associated factor 2
Amillepora16802-RA	cyclopropane-fatty-acyl-phospholipid synthase
Amillepora16803-RA	Intraflagellar transport 122 homolog (Chlamydomonas)
Amillepora16810-RA	ras homolog family member
Amillepora16817-RA	ets variant
Amillepora16824-RA	Major facilitator superfamily domain containing 4
Amillepora16816-RA	Ets domain transcription factor
Amillepora16823-RA	Major facilitator superfamily domain containing 4
Amillepora16822-RA	Major facilitator superfamily domain containing 4
Amillepora16821-RA	ets variant
Amillepora16819-RA	Ets domain transcription factor
Amillepora16820-RA	Transient receptor potential cation channel subfamily C member
Amillepora16826-RA	stabilin 1
Amillepora16825-RA	Aldehyde dehydrogenase 1 family, member
Amillepora16841-RA	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16840-RA	N-acyl phosphatidylethanolamine phospholipase D
Amillepora16853-RA	forkhead
Amillepora16854-RA	saccharopine dehydrogenase
Amillepora16872-RA	Glutathione S-transferase, mu
Amillepora16877-RA	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora16875-RA	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora16876-RA	bol, boule-like (Drosophila)
Amillepora16874-RA	protein tyrosine phosphatase receptor type
Amillepora16891-RA	Cytochrome P450 family 27 subfamily
Amillepora16888-RA	major facilitator superfamily domain-containing protein 3-like
Amillepora16890-RA	N(alpha)-acetyltransferase 38, NatC auxiliary
Amillepora16889-RA	TatD DNase domain containing
Amillepora16878-RA	dynein, axonemal, heavy chain 6
Amillepora16898-RA	GRAM domain containing 4
Amillepora16892-RA	cytochrome P450
Amillepora16893-RA	Cytochrome P450 family 27 subfamily
Amillepora16897-RA	ceramide
Amillepora16894-RA	Cytochrome P450 family 27 subfamily
Amillepora16896-RA	Cytochrome P450 family 27 subfamily
Amillepora16895-RA	Cytochrome P450 family 27 subfamily
Amillepora16900-RA	Cell adhesion molecule
Amillepora16901-RA	Cell adhesion molecule
Amillepora16903-RA	Cell adhesion molecule
Amillepora16905-RA	Cell adhesion molecule
Amillepora16904-RA	Cell adhesion molecule
Amillepora16914-RA	Carboxypeptidase
Amillepora16913-RA	Carboxypeptidase
Amillepora16908-RA	Cell adhesion molecule
Amillepora16907-RA	immunoglobulin superfamily DCC subclass member
Amillepora16915-RA	Sea anemone cytotoxic protein
Amillepora16917-RA	family with sequence similarity
Amillepora16922-RA	Intercellular signal essential for a variety of patterning events during development (By similarity)
Amillepora16928-RA	Inhibitor of kappa light polypeptide gene enhancer in B-cells kinase
Amillepora16926-RA	tRNA nucleus export receptor which facilitates tRNA translocation across the nuclear pore complex. Involved in pre- tRNA splicing, probably by affecting the interaction of pre-tRNA with splicing endonuclease (By similarity)
Amillepora16923-RA	GDP dissociation inhibitor
Amillepora16931-RA	synaptoporin
Amillepora16932-RA	Tubulin tyrosine ligase-like family, member
Amillepora16930-RA	60s ribosomal protein
Amillepora16934-RA	copine family
Amillepora16937-RA	rna polymerase
Amillepora16946-RA	Chromosome 9 open reading frame 64
Amillepora16947-RA	Chromosome 7 open reading frame 60
Amillepora16939-RA	rna polymerase
Amillepora16941-RA	Ataxin 7-like
Amillepora16936-RA	rna polymerase
Amillepora16944-RA	apoptosis-related cysteine peptidase
Amillepora16943-RA	member RAS oncogene
Amillepora16940-RA	SUMO sentrin specific peptidase family member 8
Amillepora16958-RA	Bacterial protein of unknown function (DUF885)
Amillepora16956-RA	Bacterial protein of unknown function (DUF885)
Amillepora16952-RA	rna polymerase
Amillepora16951-RA	dehydratase
Amillepora16953-RA	chromosome 12 open reading frame 55
Amillepora16957-RA	Bacterial protein of unknown function (DUF885)
Amillepora16968-RA	Zinc finger protein 341
Amillepora16964-RA	Zinc finger protein 341
Amillepora16959-RA	Cell adhesion molecule
Amillepora16962-RA	A kinase (PRKA) anchor protein 1
Amillepora16971-RA	adrenoceptor beta
Amillepora16977-RA	general transcription factor IIIC, polypeptide 6, alpha
Amillepora16972-RA	Solute carrier family 16, member 3 (Monocarboxylic acid transporter 4)
Amillepora16975-RA	KIN, antigenic determinant of recA protein homolog (Mouse)
Amillepora16979-RA	helicase
Amillepora16976-RA	Transmembrane protein 43
Amillepora16984-RA	G- protein-coupled receptor
Amillepora16988-RA	PRP18 pre-mRNA processing factor 18 homolog
Amillepora16982-RA	Scm-like with four mbt domains
Amillepora16983-RA	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)
Amillepora16991-RA	THO complex 7 homolog (Drosophila)
Amillepora16986-RA	adds the third glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation. Transfers glucose from dolichyl phosphate glucose (Dol-P-Glc) onto the lipid-linked oligosaccharide Glc(2)Man(9)GlcNAc(2)-PP-Dol
Amillepora16981-RA	TBC1 domain family member
Amillepora16990-RA	Inherit from COG: ProFAR isomerase
Amillepora16993-RA	Coiled-coil domain containing 77
Amillepora16999-RA	early endosome antigen
Amillepora16997-RA	Tp53rk binding protein
Amillepora16996-RA	Rap guanine nucleotide exchange factor (GEF) 1
Amillepora16998-RA	cyclin D binding myb-like transcription factor 1
Amillepora16992-RA	RAB interacting factor
Amillepora16994-RA	IQ motif and Sec7 domain
Amillepora16995-RA	phosducin
Amillepora17006-RA	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Amillepora17005-RA	cysteine-rich with egf-like domains
Amillepora17002-RA	Cytochrome P450, family 46, subfamily a, polypeptide 1
Amillepora17007-RA	Carboxypeptidase
Amillepora17001-RA	leucine-rich repeat kinase 2
Amillepora17004-RA	Heat shock protein
Amillepora17008-RA	Neuronal pentraxin
Amillepora17016-RA	Carboxypeptidase
Amillepora17021-RA	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 6
Amillepora17018-RA	succinyl-CoA synthetase beta
Amillepora17017-RA	solute carrier family 16, member
Amillepora17028-RA	snail homolog
Amillepora17019-RA	chromosome 7 open reading frame 23
Amillepora17025-RA	b-cell receptor-associated protein
Amillepora17022-RA	Monoglyceride lipase
Amillepora17023-RA	beta-hexosaminidase
Amillepora17026-RA	striatin interacting protein
Amillepora17030-RA	Cell adhesion molecule
Amillepora17029-RA	Cell adhesion molecule
Amillepora17036-RA	solute carrier family 16, member 8 (monocarboxylic acid transporter 3)
Amillepora17037-RA	nischarin
Amillepora17034-RA	hemK methyltransferase family member 1
Amillepora17031-RA	Myeloid lymphoid or mixed-lineage leukemia 5 (Trithorax homolog, Drosophila)
Amillepora17044-RA	ssu-2 homolog (C. elegans)
Amillepora17038-RA	synthase
Amillepora17042-RA	translocase of inner mitochondrial membrane domain containing 1
Amillepora17039-RA	premRNAsplicing factor ISY1
Amillepora17043-RA	ssu-2 homolog (C. elegans)
Amillepora17054-RA	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17057-RA	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17055-RA	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora17050-RA	member RAS oncogene family
Amillepora17051-RA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
Amillepora17053-RA	tetratricopeptide repeat domain 28
Amillepora17060-RA	extracellular ligand-gated ion channel activity
Amillepora17059-RA	to F57G4.9 Hydra magnipapillata 
Amillepora17064-RA	extracellular ligand-gated ion channel activity
Amillepora17066-RA	extracellular ligand-gated ion channel activity
Amillepora17061-RA	extracellular ligand-gated ion channel activity
Amillepora17067-RA	extracellular ligand-gated ion channel activity
Amillepora17062-RA	extracellular ligand-gated ion channel activity
Amillepora17068-RA	extracellular ligand-gated ion channel activity
Amillepora17072-RA	Carboxypeptidase
Amillepora17070-RA	RNA polymerase II associated protein 3
Amillepora17080-RA	universal minicircle sequence binding protein
Amillepora17077-RA	coiledcoil domain containing
Amillepora17079-RA	Small nuclear ribonucleoprotein
Amillepora17076-RA	amidohydrolase domain containing 1
Amillepora17084-RA	DiGeorge syndrome critical region gene 14
Amillepora17082-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17086-RA	thymine-DNA glycosylase
Amillepora17091-RA	The glycine cleavage system catalyzes the degradation of glycine (By similarity)
Amillepora17083-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17081-RA	WD repeat domain 49
Amillepora17089-RA	NOP2 Sun domain family member
Amillepora17090-RA	Inhibitor of growth family member
Amillepora17085-RA	small integral membrane protein 4
Amillepora17100-RA	Inherit from COG: Lysine 2,3-aminomutase YodO family protein
Amillepora17101-RA	Inherit from COG: Lysine 2,3-aminomutase YodO family protein
Amillepora17095-RA	Dynamin 1-like
Amillepora17097-RA	Solute carrier family 35
Amillepora17106-RA	Solute carrier family 35
Amillepora17110-RA	PR domain containing 6
Amillepora17103-RA	Solute carrier family 32 (GABA vesicular transporter), member 1
Amillepora17105-RA	Solute carrier family 35
Amillepora17102-RA	Cyclin-Dependent Kinase
Amillepora17114-RA	whole genome shotgun sequence
Amillepora17113-RA	protein Hydra magnipapillata
Amillepora17112-RA	protein Hydra magnipapillata
Amillepora17120-RA	Inherit from KOG: transposon protein
Amillepora17133-RA	protein Hydra magnipapillata
Amillepora17130-RA	protein Hydra magnipapillata
Amillepora17129-RA	protein Hydra magnipapillata
Amillepora17131-RA	protein Hydra magnipapillata
Amillepora17127-RA	protein Hydra magnipapillata
Amillepora17124-RA	protein Hydra magnipapillata
Amillepora17123-RA	protein Hydra magnipapillata
Amillepora17122-RA	protein Hydra magnipapillata
Amillepora17128-RA	protein Hydra magnipapillata
Amillepora17132-RA	protein Hydra magnipapillata
Amillepora17139-RA	protein Hydra magnipapillata
Amillepora17135-RA	protein Hydra magnipapillata
Amillepora17140-RA	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1
Amillepora17137-RA	protein Hydra magnipapillata
Amillepora17146-RA	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)
Amillepora17144-RA	galactosylceramide sulfotransferase-like
Amillepora17143-RA	chromosome 3 open reading frame 20
Amillepora17141-RA	Meprin A
Amillepora17142-RA	leucine-rich repeats and guanylate kinase domain containing
Amillepora17147-RA	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
Amillepora17153-RA	p38 map kinase
Amillepora17150-RA	Milk fat globule-EGF factor 8 protein
Amillepora17159-RA	Exonuclease 3'-5' domain containing 2
Amillepora17158-RA	Exonuclease 3'-5' domain containing 2
Amillepora17162-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17188-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17197-RA	Inherit from opiNOG: to reverse transcriptase
Amillepora17200-RA	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora17199-RA	Inherit from KOG: Growth factor receptor
Amillepora17203-RA	NLR family, CARD domain containing 3
Amillepora17208-RA	DNA/RNA non-specific endonuclease
Amillepora17212-RA	neuronal growth regulator 1
